R2-PINH1,94.09,50.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,153.95,53.28,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,146.08,50.60,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,123.54,44.58,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,62.99,17.66,180.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,57.05,15.16,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,47.47,38.96,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,43.49,38.86,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,33.69,50.04,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,9.11,100.34,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,51.33,38.94,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,108.65,180.00,RESET_BUTTON,MYBUTTON
R_BOOT,60.39,108.21,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,89.31,62.54,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,20.38,108.21,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,76.23,25.88,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,52.60,108.21,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.43,12.82,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,56.92,13.42,0.00,,SJ
TP1,11.29,73.59,0.00,TPTP20R,TP20R
TP10,115.77,3.79,0.00,TPTP20R,TP20R
TP11,120.67,3.64,0.00,TPTP20R,TP20R
TP12,125.37,3.49,0.00,TPTP20R,TP20R
TP13,75.82,31.24,0.00,TPTP20R,TP20R
TP14,137.17,62.64,0.00,TPTP20R,TP20R
TP15,99.17,59.99,0.00,TPTP20R,TP20R
TP16,130.12,41.94,0.00,TPTP20R,TP20R
TP17,130.02,3.64,0.00,TPTP20R,TP20R
TP2,15.29,73.52,0.00,TPTP20R,TP20R
TP3,132.81,55.36,0.00,TPTP20R,TP20R
TP4,73.68,107.62,0.00,TPTP20R,TP20R
TP5,118.00,30.47,0.00,TPTP20R,TP20R
TP6,39.42,65.72,0.00,TPTP20R,TP20R
TP7,103.59,4.07,0.00,TPTP20R,TP20R
TP8,108.06,4.07,0.00,TPTP20R,TP20R
TP9,111.78,3.97,0.00,TPTP20R,TP20R
U1,38.79,57.06,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,56.74,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,86.15,55.30,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,135.85,50.92,0.00,MAX17048G+T10,SON50P200X200X80-9N
